Well,Cq
L08,NaN
L09,NaN
L10,NaN
L11,NaN
L12,NaN
L13,NaN
L14,NaN
L15,NaN
L16,NaN
L17,NaN
L18,NaN
L19,NaN
L20,NaN
L21,NaN
L22,NaN
L23,NaN
L24,NaN
M01,NaN
M02,NaN
M03,NaN
M04,NaN
M05,NaN
M06,NaN
M07,NaN
M08,NaN
M09,NaN
M10,NaN
M11,NaN
M12,NaN
M13,NaN
M14,NaN
M15,NaN
M16,NaN
M17,NaN
M18,NaN
M19,NaN
M20,NaN
M21,NaN
M22,NaN
M23,NaN
M24,NaN
N01,NaN
N02,NaN
N03,NaN
N04,NaN
N05,NaN
N06,NaN
N07,NaN
N08,NaN
N09,NaN
N10,NaN
N11,NaN
N12,NaN
N13,NaN
N14,NaN
N15,NaN
N16,NaN
N17,NaN
N18,NaN
N19,NaN
N20,NaN
N21,NaN
N22,NaN
N23,NaN
N24,NaN
O01,NaN
O02,NaN
O03,NaN
O04,NaN
O05,NaN
O06,NaN
O07,NaN
O08,NaN
O09,NaN
O10,NaN
O11,NaN
O12,NaN
O13,NaN
O14,NaN
O15,NaN
O16,NaN
O17,NaN
O18,NaN
O19,NaN
O20,NaN
O21,NaN
O22,NaN
O23,NaN
O24,NaN
P01,NaN
P02,NaN
P03,NaN
P04,NaN
P05,NaN
P06,NaN
P07,NaN
P08,NaN
P09,NaN
P10,NaN
P11,NaN
P12,NaN
P13,NaN
P14,NaN
P15,NaN
P16,NaN
P17,NaN
P18,NaN
P19,NaN
P20,NaN
P21,NaN
P22,NaN
P23,NaN
P24,NaN
